Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
005930,KR7005930003,삼성전자,KOSPI,,67300,2,-200,-0.3,67500,67900,67200,2875549,194402126900,401766365615000,5969782550,STK
373220,KR7373220003,LG에너지솔루션,KOSPI,,546000,2,-1000,-0.18,545000,551000,543000,67568,36978459000,127764000000000,234000000,STK
000660,KR7000660001,SK하이닉스,KOSPI,,115600,1,300,0.26,114600,117300,114000,610171,70619790600,84157073394000,728002365,STK
207940,KR7207940008,삼성바이오로직스,KOSPI,,792000,2,-9000,-1.12,795000,801000,792000,11094,8820642000,56369808000000,71174000,STK
005490,KR7005490008,POSCO홀딩스,KOSPI,,572000,2,-5000,-0.87,565000,585000,565000,370475,213554472000,48374743560000,84571230,STK
005935,KR7005931001,삼성전자우,KOSPI,,55800,2,-200,-0.36,55900,56200,55700,213496,11931472000,45917077860000,822886700,STK
051910,KR7051910008,LG화학,KOSPI,,603000,2,-19000,-3.05,616000,619000,602000,71957,43897601000,42567182829000,70592343,STK
006400,KR7006400006,삼성SDI,KOSPI,,619000,2,-14000,-2.21,625000,626000,616000,42987,26687563000,42565244070000,68764530,STK
005380,KR7005380001,현대차,KOSPI,,189000,2,-1500,-0.79,190000,190500,188300,89373,16921113800,39979454634000,211531506,STK
035420,KR7035420009,NAVER,KOSPI,,221500,2,-500,-0.23,222500,224500,221000,209343,46578970500,36336872327500,164049085,STK
003670,KR7003670007,포스코퓨처엠,KOSPI,,431000,2,-9500,-2.16,431000,440500,429000,140277,60853056500,33386647820000,77463220,STK
000270,KR7000270009,기아,KOSPI,,79800,2,-500,-0.62,79700,80200,79300,296555,23619618500,32083127399400,402044203,STK
247540,KR7247540008,에코프로비엠,KOSDAQ GLOBAL,우량기업부,315500,2,-8000,-2.47,316500,325500,315500,239965,76613565500,30856324032000,97801344,KSQ
086520,KR7086520004,에코프로,KOSDAQ,우량기업부,1083000,2,-54000,-4.75,1110000,1127000,1082000,236087,259483950000,28837764444000,26627668,KSQ
035720,KR7035720002,카카오,KOSPI,,51500,2,-100,-0.19,51700,52000,51300,277140,14314698400,22884081135000,444351090,STK
068270,KR7068270008,셀트리온,KOSPI,,151500,2,-5000,-3.19,157600,157600,150600,190915,29158942300,22180019655000,146402770,STK
012330,KR7012330007,현대모비스,KOSPI,,233000,3,0,0.0,235000,235500,232000,43566,10181159000,21968426902000,94285094,STK
105560,KR7105560007,KB금융,KOSPI,,51400,2,-200,-0.39,51200,52000,51200,125676,6476312900,20740469100800,403511072,STK
028260,KR7028260008,삼성물산,KOSPI,,104500,2,-400,-0.38,105200,105200,104200,35980,3767889200,19394329515000,185591670,STK
055550,KR7055550008,신한지주,KOSPI,,34850,1,50,0.14,34800,35150,34700,134780,4714149100,18064397062300,518347118,STK
096770,KR7096770003,SK이노베이션,KOSPI,,186200,2,-4300,-2.26,190500,192200,185500,149160,28139576700,17217088016800,92465564,STK
066570,KR7066570003,LG전자,KOSPI,,101900,2,-1900,-1.83,103400,103500,101700,182220,18608705600,16675712246600,163647814,STK
047050,KR7047050000,포스코인터내셔널,KOSPI,,85400,1,200,0.23,83300,88800,83300,1761817,152969752400,15023806095200,175922788,STK
032830,KR7032830002,삼성생명,KOSPI,,69000,2,-1300,-1.85,70000,70000,68700,31159,2153995600,13800000000000,200000000,STK
323410,KR7323410001,카카오뱅크,KOSPI,,27300,2,-300,-1.09,27450,27900,27300,216506,5975169400,13015742840100,476767137,STK
